dataset,real,name,family,ratio,comp,enc,dec,ok,embedded,neural,cost,pct_of_flac,xchan_gain
synth_sc0.0,False,LMS+Rice,temporal,2.7596503544560673,742123,5.93160301580198,2.3044306528644642,True,OK,OK,0.0523,242.6,
synth_sc0.0,False,LMS+Rice+xchan,cross-channel,2.7565785046100006,742950,5.496612129028893,2.1751085566358426,True,OK,OK,0.0572,242.4,-0.1
synth_sc0.0,False,fixed0-3+Rice,temporal,2.750407256347894,744617,2.3473993587167947,2.448049280417691,True,OK,OK,0.0193,241.8,
synth_sc0.0,False,wavpack,,2.724578142710423,751676,5.951993227933469,inf,True,ref,,,239.6,
synth_sc0.0,False,delta+Rice,temporal,2.553838863741224,801930,7.755247949402085,2.559023291182938,True,OK,OK,0.0079,224.5,
synth_sc0.0,False,delta+Rice+xchan,cross-channel,2.5526324645491947,802309,7.09519742092373,2.4550725264026725,True,OK,OK,0.0127,224.4,-0.0
synth_sc0.0,False,lzma,,2.5386751289170966,806720,1.7991370642880335,59.49063583115608,True,ref,,,223.2,
synth_sc0.0,False,zstd-19,,2.356441726968026,869107,1.9713401733505291,768.1753360237818,True,ref,,,207.2,
synth_sc0.0,False,gzip-9,,2.1156915511800043,968005,6.094589855796446,249.7613364576676,True,ref,,,186.0,
synth_sc0.0,False,mtscomp,,1.9921384458401952,1028041,9.13191678041447,150.27747032556846,True,ref,,,175.2,
synth_sc0.0,False,flac,,1.1373196906801428,1800725,7.20068280474621,7.174480909506059,True,ref,,,100.0,
synth_sc0.3,False,LMS+Rice+xchan,cross-channel,2.669064654442142,767310,5.647249163854911,2.2625202912608597,True,OK,OK,0.0572,239.4,1.4
synth_sc0.3,False,LMS+Rice,temporal,2.6331962734101175,777762,5.368845351187984,2.2549675365822233,True,OK,OK,0.0523,236.1,
synth_sc0.3,False,fixed0-3+Rice,temporal,2.6265973764806674,779716,2.3353722786787436,2.5106769110064597,True,OK,OK,0.0193,235.5,
synth_sc0.3,False,wavpack,,2.598760513052173,788068,6.274627280168867,inf,True,ref,,,233.0,
synth_sc0.3,False,delta+Rice+xchan,cross-channel,2.458238158625979,833117,7.507618775890033,2.471437984614501,True,OK,OK,0.0127,220.4,1.1
synth_sc0.3,False,delta+Rice,temporal,2.4326536236204968,841879,7.408274331986675,2.443238575244075,True,OK,OK,0.0079,218.2,
synth_sc0.3,False,lzma,,2.413978443926864,848392,1.692352921939612,52.97315724938803,True,ref,,,216.5,
synth_sc0.3,False,zstd-19,,2.2336936545867614,916867,1.8670294122487698,255.17136289465103,True,ref,,,200.3,
synth_sc0.3,False,gzip-9,,2.014419624853689,1016670,7.141716565488269,216.25025645312132,True,ref,,,180.6,
synth_sc0.3,False,mtscomp,,1.9113178387176253,1071512,9.811084971956335,120.97925619259176,True,ref,,,171.4,
synth_sc0.3,False,flac,,1.1151264617658092,1836563,6.93948570244835,8.383012506317954,True,ref,,,100.0,
synth_sc0.6,False,LMS+Rice+xchan,cross-channel,2.571901474071265,796298,6.901395529572063,2.8925226461996836,True,OK,OK,0.0572,242.4,9.4
synth_sc0.6,False,delta+Rice+xchan,cross-channel,2.38067284231181,860261,8.730232412470578,2.981125617428081,True,OK,OK,0.0127,224.4,8.2
synth_sc0.6,False,LMS+Rice,temporal,2.3516389131937507,870882,7.032278512044793,2.7781018783596303,True,OK,OK,0.0523,221.7,
synth_sc0.6,False,fixed0-3+Rice,temporal,2.3458368268891547,873036,2.8326359131523287,3.120088802358441,True,OK,OK,0.0193,221.1,
synth_sc0.6,False,wavpack,,2.3263950418705672,880332,6.464703296080363,inf,True,ref,,,219.3,
synth_sc0.6,False,delta+Rice,temporal,2.1994709670906305,931133,8.794222329906765,3.001125539308955,True,OK,OK,0.0079,207.3,
synth_sc0.6,False,lzma,,2.1544469130815322,950592,1.9754486858158398,60.39415917717242,True,ref,,,203.1,
synth_sc0.6,False,zstd-19,,1.9945675304273809,1026789,2.066249616646713,449.8144954477882,True,ref,,,188.0,
synth_sc0.6,False,gzip-9,,1.8078170432657932,1132858,12.733931983582504,243.30593844636968,True,ref,,,170.4,
synth_sc0.6,False,mtscomp,,1.7136110755503344,1195137,13.686098125965184,119.06158541890031,True,ref,,,161.5,
synth_sc0.6,False,flac,,1.0608798983461567,1930473,6.906305648261962,8.839832728361387,True,ref,,,100.0,
synth_sc0.9,False,LMS+Rice+xchan,cross-channel,2.533455717717614,808382,5.183938319395203,2.2390621390857053,True,OK,OK,0.0572,250.2,19.1
synth_sc0.9,False,delta+Rice+xchan,cross-channel,2.3564634178614865,869099,6.907683711382954,2.311754640792286,True,OK,OK,0.0127,232.7,17.1
synth_sc0.9,False,LMS+Rice,temporal,2.127621998032365,962577,4.97691573795269,2.065505452007438,True,OK,OK,0.0523,210.1,
synth_sc0.9,False,fixed0-3+Rice,temporal,2.121268618068071,965460,2.018815693475178,2.2912806682449287,True,OK,OK,0.0193,209.5,
synth_sc0.9,False,wavpack,,2.110409015403513,970428,6.584998558519303,inf,True,ref,,,208.4,
synth_sc0.9,False,delta+Rice,temporal,2.012513352063072,1017633,6.339579312017849,2.2093432899027894,True,OK,OK,0.0079,198.8,
synth_sc0.9,False,lzma,,1.9413499965874708,1054936,1.947995586922509,42.716241534732404,True,ref,,,191.7,
synth_sc0.9,False,zstd-19,,1.8169043073407192,1127192,2.318463110185203,207.3334488773682,True,ref,,,179.4,
synth_sc0.9,False,gzip-9,,1.6246296391783246,1260595,12.841021848143102,162.70190667118186,True,ref,,,160.5,
synth_sc0.9,False,mtscomp,,1.5523842514862487,1319261,13.125522893945636,130.19340077079696,True,ref,,,153.3,
synth_sc0.9,False,flac,,1.012492015748997,2022732,7.142225696572342,9.027432392308102,True,ref,,,100.0,
