config,mean_ratio,cost,embedded_ok,neural_ok,on_pareto
lms4s7+x8/b512,1.4909,0.0271,True,True,True
lms4s7+x7/b512,1.4909,0.0271,True,True,False
lms4s7+x9/b512,1.4908,0.0271,True,True,False
lms4s7+x10/b512,1.4908,0.0271,True,True,False
lms4s7+x6/b512,1.4907,0.0271,True,True,False
lms4s6+x8/b512,1.4895,0.0271,True,True,False
lms4s7+x8/b256,1.4889,0.0271,True,True,False
lms4s7+x7/b256,1.4889,0.0271,True,True,False
lms4s7+x9/b256,1.4889,0.0271,True,True,False
lms4s7+x10/b256,1.4889,0.0271,True,True,False
lms4s7+x6/b256,1.4888,0.0271,True,True,False
lms4s8+x8/b512,1.4876,0.0271,True,True,False
lms4s6+x8/b256,1.4875,0.0271,True,True,False
lms8s7+x8/b512,1.4867,0.0402,True,True,False
lms4s8+x7/b256,1.4858,0.0271,True,True,False
lms4s8+x10/b256,1.4858,0.0271,True,True,False
lms4s8+x9/b256,1.4858,0.0271,True,True,False
lms4s8+x8/b256,1.4858,0.0271,True,True,False
lms8s8+x8/b512,1.4858,0.0402,True,True,False
lms4s8+x6/b256,1.4858,0.0271,True,True,False
lms4s7+x8/b128,1.4852,0.0271,True,True,False
lms8s7+x8/b256,1.4848,0.0402,True,True,False
lms8s8+x9/b256,1.484,0.0402,True,True,False
lms8s8+x8/b256,1.484,0.0402,True,True,False
lms8s8+x10/b256,1.484,0.0402,True,True,False
lms8s8+x7/b256,1.4839,0.0402,True,True,False
lms8s8+x6/b256,1.4838,0.0402,True,True,False
lms12s7+x8/b512,1.4822,0.0532,True,True,False
lms4s8+x8/b128,1.4821,0.0271,True,True,False
lms12s8+x8/b256,1.4818,0.0532,True,True,False
lms12s7+x8/b256,1.4804,0.0532,True,True,False
lms8s8+x8/b128,1.4803,0.0402,True,True,False
lms4s9+x8/b512,1.4798,0.0271,True,True,False
lms16s8+x8/b256,1.4796,0.0663,True,True,False
lms8s6+x8/b256,1.479,0.0402,True,True,False
lms4s9+x8/b256,1.478,0.0271,True,True,False
lms16s7+x8/b512,1.4775,0.0663,True,True,False
lms8s9+x8/b256,1.4774,0.0402,True,True,False
delta+x8/b512,1.4759,0.0163,True,True,True
lms16s7+x8/b256,1.4757,0.0663,True,True,False
delta+x8/b256,1.474,0.0163,True,True,False
fixed+x8/b512,1.4717,0.0252,True,True,False
fixed+x8/b256,1.4698,0.0252,True,True,False
lms4s10+x8/b512,1.4679,0.0271,True,True,False
lms4s10+x8/b256,1.4661,0.0271,True,True,False
lms8s10+x8/b256,1.4661,0.0402,True,True,False
lms4s7/b512,1.3493,0.0222,True,True,False
lms4s7/b256,1.3477,0.0222,True,True,False
lms4s8/b256,1.344,0.0222,True,True,False
lms8s8/b256,1.3421,0.0353,True,True,False
