dataset,real,name,family,ratio,comp,enc,dec,ok,embedded,neural,cost,pct_of_flac,xchan_gain
otb_hdsemg_vl,True,LMS+Rice+xchan,cross-channel,2.1202619186051326,1207398,4.113248879561066,1.9320593371799322,True,OK,OK,0.0572,159.2,17.5
otb_hdsemg_vl,True,delta+Rice+xchan,cross-channel,2.0001234451188785,1279921,5.377701386409425,2.122202235820818,True,OK,OK,0.0127,150.2,16.1
otb_hdsemg_vl,True,wavpack,,1.8352149065330783,1394932,11.573599375661894,inf,True,ref,,,137.8,
otb_hdsemg_vl,True,LMS+Rice,temporal,1.8048238146502342,1418421,3.813413474243314,1.7531176662178802,True,OK,OK,0.0523,135.5,
otb_hdsemg_vl,True,fixed0-3+Rice,temporal,1.804346784174751,1418796,1.590067272112713,1.9437597784736451,True,OK,OK,0.0193,135.5,
otb_hdsemg_vl,True,delta+Rice,temporal,1.723106249019815,1485689,5.281669887082313,2.017160898639007,True,OK,OK,0.0079,129.4,
otb_hdsemg_vl,True,lzma,,1.5565792225859645,1644632,2.6563424761922336,25.288858279265764,True,ref,,,116.9,
otb_hdsemg_vl,True,mtscomp,,1.4608603554455852,1752392,13.82011029679047,89.32343187744223,True,ref,,,109.7,
otb_hdsemg_vl,True,zstd-19,,1.414697602861226,1809574,2.759199967037973,236.52845705282755,True,ref,,,106.2,
otb_hdsemg_vl,True,flac,,1.331727630487199,1922315,16.769594309642248,21.904332553726743,True,ref,,,100.0,
otb_hdsemg_vl,True,gzip-9,,1.3041894538961387,1962905,24.20657467210359,143.92301647819892,True,ref,,,97.9,
