config,mean_ratio,cost,embedded_ok,neural_ok,on_pareto
lms4s7+x9/b512,2.1943,0.0271,True,True,True
lms4s7+x6/b512,2.1941,0.0271,True,True,False
lms4s7+x8/b512,2.1941,0.0271,True,True,False
lms4s7+x10/b512,2.1941,0.0271,True,True,False
lms4s7+x7/b512,2.1937,0.0271,True,True,False
lms4s7+x9/b256,2.1906,0.0271,True,True,False
lms4s7+x10/b256,2.1904,0.0271,True,True,False
lms4s7+x6/b256,2.1904,0.0271,True,True,False
lms4s7+x8/b256,2.1904,0.0271,True,True,False
lms4s7+x7/b256,2.19,0.0271,True,True,False
lms4s8+x9/b512,2.1868,0.0271,True,True,False
lms4s8+x8/b512,2.1867,0.0271,True,True,False
lms4s7+x9/b128,2.1842,0.0271,True,True,False
lms4s7+x8/b128,2.184,0.0271,True,True,False
lms4s8+x9/b256,2.1832,0.0271,True,True,False
lms4s8+x8/b256,2.1831,0.0271,True,True,False
lms4s8+x10/b256,2.183,0.0271,True,True,False
lms4s8+x6/b256,2.183,0.0271,True,True,False
lms4s8+x7/b256,2.1829,0.0271,True,True,False
lms4s6+x8/b512,2.1827,0.0271,True,True,False
lms4s6+x9/b512,2.1826,0.0271,True,True,False
lms4s6+x8/b256,2.179,0.0271,True,True,False
lms4s8+x8/b128,2.1773,0.0271,True,True,False
lms8s8+x8/b512,2.1762,0.0402,True,True,False
lms8s8+x6/b256,2.173,0.0402,True,True,False
lms8s8+x8/b256,2.1727,0.0402,True,True,False
lms8s8+x9/b256,2.1727,0.0402,True,True,False
lms8s8+x10/b256,2.1725,0.0402,True,True,False
lms8s8+x7/b256,2.1725,0.0402,True,True,False
lms8s7+x8/b512,2.1718,0.0402,True,True,False
lms8s7+x9/b512,2.1717,0.0402,True,True,False
lms8s7+x8/b256,2.1683,0.0402,True,True,False
fixed+x9/b512,2.1675,0.0252,True,True,True
fixed+x8/b512,2.1675,0.0252,True,True,False
lms8s8+x8/b128,2.1672,0.0402,True,True,False
fixed+x8/b256,2.1636,0.0252,True,True,False
lms12s8+x8/b256,2.1613,0.0532,True,True,False
lms4s9+x9/b512,2.1606,0.0271,True,True,False
lms4s9+x8/b512,2.1605,0.0271,True,True,False
lms4s9+x8/b256,2.1574,0.0271,True,True,False
lms8s9+x8/b256,2.1534,0.0402,True,True,False
lms16s8+x8/b256,2.1492,0.0663,True,True,False
lms12s7+x8/b512,2.1485,0.0532,True,True,False
lms12s7+x9/b512,2.1485,0.0532,True,True,False
lms12s7+x8/b256,2.1452,0.0532,True,True,False
lms8s6+x8/b256,2.1376,0.0402,True,True,False
lms16s7+x9/b512,2.125,0.0663,True,True,False
lms16s7+x8/b512,2.1247,0.0663,True,True,False
lms16s7+x8/b256,2.1215,0.0663,True,True,False
lms4s10+x8/b512,2.1181,0.0271,True,True,False
lms4s10+x9/b512,2.1181,0.0271,True,True,False
lms4s10+x8/b256,2.1155,0.0271,True,True,False
lms8s10+x8/b256,2.1111,0.0402,True,True,False
delta+x9/b512,2.093,0.0163,True,True,True
delta+x8/b512,2.093,0.0163,True,True,False
delta+x8/b256,2.0896,0.0163,True,True,False
lms4s7/b512,1.8615,0.0222,True,True,False
lms4s8/b256,1.8588,0.0222,True,True,False
lms4s7/b256,1.8584,0.0222,True,True,False
lms8s8/b256,1.8501,0.0353,True,True,False
