dataset,real,name,family,ratio,comp,enc,dec,ok,embedded,neural,cost,pct_of_flac,xchan_gain
otb_hdsemg_vl,True,LMS+Rice+xchan,cross-channel,2.142618011382658,896100,3.511222220081227,1.5564147993850188,True,OK,OK,0.0572,174.6,17.4
otb_hdsemg_vl,True,delta+Rice+xchan,cross-channel,2.0409551670181645,940736,5.007448031256114,1.8767234882823352,True,OK,OK,0.0127,166.3,16.2
otb_hdsemg_vl,True,wavpack,,1.8523270823725995,1036534,10.113528412377082,inf,True,ref,,,150.9,
otb_hdsemg_vl,True,LMS+Rice,temporal,1.8253518555842456,1051852,3.363743943716845,1.4648265572419463,True,OK,OK,0.0523,148.7,
otb_hdsemg_vl,True,fixed0-3+Rice,temporal,1.8248001748766833,1052170,1.45778085558507,1.7071175611790237,True,OK,OK,0.0193,148.7,
otb_hdsemg_vl,True,delta+Rice,temporal,1.757117010265407,1092699,4.499156815833828,1.6913515565007113,True,OK,OK,0.0079,143.2,
otb_hdsemg_vl,True,lzma,,1.5826384561361861,1213164,3.4285038748003593,22.612169344266068,True,ref,,,128.9,
otb_hdsemg_vl,True,mtscomp,,1.4852737429130396,1292691,12.395470834401719,102.80630697428076,True,ref,,,121.0,
otb_hdsemg_vl,True,zstd-19,,1.4390106801573919,1334250,4.995798286454049,405.66022787120465,True,ref,,,117.2,
otb_hdsemg_vl,True,gzip-9,,1.3274308750742358,1446403,20.25440054543862,130.4871991036851,True,ref,,,108.1,
otb_hdsemg_vl,True,flac,,1.227415867674341,1564262,13.216385302779747,16.322770822920905,True,ref,,,100.0,
hyser_1dof_f1_s1,True,lzma,,1.6674366981974313,2302936,3.605932475601769,25.562612293681504,True,ref,,,170.6,
hyser_1dof_f1_s1,True,LMS+Rice+xchan,cross-channel,1.473818987394242,2605476,3.122387749627966,1.406487409477633,True,OK,OK,0.0572,150.8,10.8
hyser_1dof_f1_s1,True,delta+Rice+xchan,cross-channel,1.451551080611738,2645446,3.7244786610313847,1.5381450343085685,True,OK,OK,0.0127,148.5,10.9
hyser_1dof_f1_s1,True,zstd-19,,1.4398826495640604,2666884,6.169981456265724,368.39324136702356,True,ref,,,147.3,
hyser_1dof_f1_s1,True,mtscomp,,1.4145251100308984,2714692,17.87858094182796,104.97560875344001,True,ref,,,144.7,
hyser_1dof_f1_s1,True,gzip-9,,1.3788700375490728,2784889,25.719098113479376,134.09640239291699,True,ref,,,141.1,
hyser_1dof_f1_s1,True,wavpack,,1.336608953469997,2872942,9.953231011630717,inf,True,ref,,,136.7,
hyser_1dof_f1_s1,True,LMS+Rice,temporal,1.3299921897594065,2887235,3.0076040477743584,1.3631713905222407,True,OK,OK,0.0523,136.1,
hyser_1dof_f1_s1,True,fixed0-3+Rice,temporal,1.3100566292447626,2931171,1.1289292995037383,1.4144262489152666,True,OK,OK,0.0193,134.0,
hyser_1dof_f1_s1,True,delta+Rice,temporal,1.3090031463799585,2933530,3.505531900964545,1.4583163396597307,True,OK,OK,0.0079,133.9,
hyser_1dof_f1_s1,True,flac,,0.9774230546608571,3928698,13.131555133828604,16.289311198442874,True,ref,,,100.0,
