dataset,real,name,family,ratio,comp,enc,dec,ok,embedded,neural,cost,pct_of_flac,xchan_gain
capgmyo_dba_s1,True,LMS+Rice+xchan,cross-channel,1.34930194707082,2845916,3.013427188845638,1.2890988658613856,True,OK,OK,0.0572,137.1,1.3
capgmyo_dba_s1,True,wavpack,,1.3471698907529417,2850420,9.665710399005695,inf,True,ref,,,136.9,
capgmyo_dba_s1,True,LMS+Rice,temporal,1.3322587371366776,2882323,2.9891885882838816,1.3480456328246588,True,OK,OK,0.0523,135.4,
capgmyo_dba_s1,True,delta+Rice+xchan,cross-channel,1.29002608271486,2976684,3.3408764814152385,1.4174302637570535,True,OK,OK,0.0127,131.1,1.2
capgmyo_dba_s1,True,delta+Rice,temporal,1.2748009368458968,3012235,3.3940468086645765,1.4217650657766505,True,OK,OK,0.0079,129.6,
capgmyo_dba_s1,True,fixed0-3+Rice,temporal,1.2743178168546452,3013377,1.0980311904149245,1.4097822705718337,True,OK,OK,0.0193,129.5,
capgmyo_dba_s1,True,lzma,,1.17316817732437,3273188,3.9306082718253847,16.67717372042679,True,ref,,,119.2,
capgmyo_dba_s1,True,mtscomp,,1.1395950520207334,3369618,20.48858050823851,101.2443457407026,True,ref,,,115.8,
capgmyo_dba_s1,True,zstd-19,,1.1177226865978356,3435557,7.799836659232362,561.4916728152637,True,ref,,,113.6,
capgmyo_dba_s1,True,gzip-9,,1.114945996255059,3444113,27.30175691281483,135.1966815973026,True,ref,,,113.3,
capgmyo_dba_s1,True,flac,,0.9840040405665916,3902423,12.803528182906193,15.720567953038763,True,ref,,,100.0,
cemhsey_s1_d1t1,True,lzma,,2.0589247094128034,4662628,2.2116996882430455,34.71415765934979,True,ref,,,175.8,
cemhsey_s1_d1t1,True,LMS+Rice+xchan,cross-channel,1.955106677544663,4910218,3.6118444497244475,1.6645469106793993,True,OK,OK,0.0572,166.9,13.1
cemhsey_s1_d1t1,True,delta+Rice+xchan,cross-channel,1.88236696665583,5099962,4.566509538226569,1.770275002523865,True,OK,OK,0.0127,160.7,12.2
cemhsey_s1_d1t1,True,zstd-19,,1.853665468992811,5178928,2.7075799025126615,319.70910734186475,True,ref,,,158.2,
cemhsey_s1_d1t1,True,wavpack,,1.731258227985068,5545100,9.58710410823676,inf,True,ref,,,147.8,
cemhsey_s1_d1t1,True,LMS+Rice,temporal,1.729317186314472,5551324,3.7809775728860604,1.578555432839076,True,OK,OK,0.0523,147.6,
cemhsey_s1_d1t1,True,fixed0-3+Rice,temporal,1.7087779567643577,5618050,1.3417807758549702,1.6202529036757705,True,OK,OK,0.0193,145.9,
cemhsey_s1_d1t1,True,gzip-9,,1.6930359962379329,5670287,11.400110970105858,162.82689194643703,True,ref,,,144.5,
cemhsey_s1_d1t1,True,mtscomp,,1.6786169036022769,5718994,8.796011598805883,111.29301077816324,True,ref,,,143.3,
cemhsey_s1_d1t1,True,delta+Rice,temporal,1.6779772822850694,5721174,4.383473131705556,1.7640763833696014,True,OK,OK,0.0079,143.2,
cemhsey_s1_d1t1,True,flac,,1.1714421441198424,8195027,12.242120387585786,14.238342979658821,True,ref,,,100.0,
