config,mean_ratio,cost,embedded_ok,neural_ok,on_pareto
lms4s8+x6/b512,1.4779,0.0271,True,True,True
lms4s8+x9/b512,1.4779,0.0271,True,True,False
lms4s8+x8/b512,1.4779,0.0271,True,True,False
lms4s8+x10/b512,1.4779,0.0271,True,True,False
lms4s8+x7/b512,1.4778,0.0271,True,True,False
lms4s7+x6/b512,1.4776,0.0271,True,True,False
lms4s7+x8/b512,1.4775,0.0271,True,True,False
lms4s8+x6/b256,1.476,0.0271,True,True,False
lms4s8+x9/b256,1.476,0.0271,True,True,False
lms4s8+x8/b256,1.476,0.0271,True,True,False
lms4s8+x10/b256,1.476,0.0271,True,True,False
lms4s8+x7/b256,1.476,0.0271,True,True,False
lms8s8+x6/b512,1.4757,0.0402,True,True,False
lms8s8+x8/b512,1.4757,0.0402,True,True,False
lms4s7+x8/b256,1.4757,0.0271,True,True,False
lms4s9+x6/b512,1.4749,0.0271,True,True,False
lms4s9+x8/b512,1.4749,0.0271,True,True,False
lms8s8+x6/b256,1.4739,0.0402,True,True,False
lms8s8+x8/b256,1.4738,0.0402,True,True,False
lms8s8+x7/b256,1.4738,0.0402,True,True,False
lms8s8+x9/b256,1.4738,0.0402,True,True,False
lms8s8+x10/b256,1.4738,0.0402,True,True,False
lms4s6+x6/b512,1.4736,0.0271,True,True,False
lms4s6+x8/b512,1.4736,0.0271,True,True,False
lms12s8+x6/b512,1.4733,0.0532,True,True,False
lms12s8+x8/b512,1.4732,0.0532,True,True,False
lms4s9+x8/b256,1.473,0.0271,True,True,False
lms4s8+x6/b128,1.4723,0.0271,True,True,False
lms4s8+x8/b128,1.4723,0.0271,True,True,False
lms8s9+x8/b256,1.4722,0.0402,True,True,False
lms4s6+x8/b256,1.4718,0.0271,True,True,False
lms12s8+x8/b256,1.4714,0.0532,True,True,False
lms8s7+x8/b256,1.4709,0.0402,True,True,False
lms16s8+x6/b512,1.4704,0.0663,True,True,False
lms16s8+x8/b512,1.4704,0.0663,True,True,False
lms8s8+x8/b128,1.4702,0.0402,True,True,False
lms16s8+x8/b256,1.4686,0.0663,True,True,False
lms4s10+x8/b512,1.4681,0.0271,True,True,False
lms4s10+x6/b512,1.4681,0.0271,True,True,False
lms4s10+x8/b256,1.4662,0.0271,True,True,False
lms8s10+x8/b256,1.4661,0.0402,True,True,False
lms8s6+x8/b256,1.462,0.0402,True,True,False
delta+x8/b512,1.4533,0.0163,True,True,True
delta+x6/b512,1.4533,0.0163,True,True,False
delta+x8/b256,1.4516,0.0163,True,True,False
fixed+x6/b512,1.4508,0.0252,True,True,False
fixed+x8/b512,1.4508,0.0252,True,True,False
fixed+x8/b256,1.449,0.0252,True,True,False
lms4s8/b512,1.3335,0.0222,True,True,False
lms4s8/b256,1.3321,0.0222,True,True,False
lms8s8/b256,1.33,0.0353,True,True,False
