dataset,real,name,family,ratio,comp,enc,dec,ok,embedded,neural,cost,pct_of_flac,xchan_gain
otb_hdsemg_vl,True,LMS4bc+Rice+xchan_bestpartner,temporal,2.1934384203587642,875338,1.9975276537806896,1.3252664603178843,True,OK,OK,0.1202,178.7,
otb_hdsemg_vl,True,LMS4bc_lite+Rice+xchan_bestpartner,temporal,2.1804009212193893,880572,1.951567827386239,1.3279520970275358,True,OK,OK,0.0983,177.6,
otb_hdsemg_vl,True,LMS4+Rice+acar_sel+bestpartner,cross-channel,2.1795395722653588,880920,3.3614833402418323,1.8614025922150093,True,OK,OK,0.043,177.6,
otb_hdsemg_vl,True,LMS4+Rice+xchan_mst,cross-channel,2.1701683236806053,884724,0.8758952808506868,0.73778637085762,True,OK,OK,0.0464,176.8,
otb_hdsemg_vl,True,LMS4+Rice+xchan_bestpartner,cross-channel,2.161938177576197,888092,3.40787906076161,1.8872787275537455,True,OK,OK,0.0394,176.1,
otb_hdsemg_vl,True,LMS4+Rice+xchan_bestpartner_adaptive,cross-channel,2.153106023650524,891735,1.3296220774172438,0.9665089818001666,True,OK,OK,0.0387,175.4,
otb_hdsemg_vl,True,LMS4+Rice+xchan_jointbp2,cross-channel,2.1522443873501835,892092,0.637872553638534,0.5496327847113931,True,OK,OK,0.0468,175.3,
otb_hdsemg_vl,True,LMS+Rice+xchan_joint2,cross-channel,2.1496756452945616,893158,2.1602455062311434,1.3420958322857472,True,OK,OK,0.0366,175.1,
otb_hdsemg_vl,True,LMS4+Rice+xchan_bprank,cross-channel,2.1495865964319103,893195,0.6791099600285311,0.5599445295851359,True,OK,OK,0.0554,175.1,
otb_hdsemg_vl,True,LMS+Rice+xchan,cross-channel,2.142618011382658,896100,3.5786688255581725,1.7843654816561454,True,OK,OK,0.0572,174.6,17.4
otb_hdsemg_vl,True,LMS+Rice+acar,cross-channel,2.0889341974847926,919129,3.7672235547878143,1.8055655842551692,True,OK,OK,0.0559,170.2,
otb_hdsemg_vl,True,delta+Rice+xchan,cross-channel,2.0409551670181645,940736,4.979240857625121,2.06166374630026,True,OK,OK,0.0127,166.3,16.2
otb_hdsemg_vl,True,LMS4+Rice+xchan_xlag,cross-channel,2.0293923661023827,946096,0.5492924453723618,0.482417806891509,True,OK,-,0.1063,165.3,
otb_hdsemg_vl,True,wavpack,,1.8523270823725995,1036534,7.231445007566162,inf,True,ref,,,150.9,
otb_hdsemg_vl,True,LMS+Rice,temporal,1.8253518555842456,1051852,3.9263538551728274,1.6990970097616012,True,OK,OK,0.0523,148.7,
otb_hdsemg_vl,True,fixed0-3+Rice,temporal,1.8248001748766833,1052170,1.5098834386579283,1.9366376697134926,True,OK,OK,0.0193,148.7,
otb_hdsemg_vl,True,delta+Rice,temporal,1.757117010265407,1092699,4.552741032870167,1.9821576962809584,True,OK,OK,0.0079,143.2,
otb_hdsemg_vl,True,lzma,,1.5826384561361861,1213164,2.6022657434481413,24.589584466765274,True,ref,,,128.9,
otb_hdsemg_vl,True,mtscomp,,1.4852737429130396,1292691,12.32522209183807,56.323828217974246,True,ref,,,121.0,
otb_hdsemg_vl,True,zstd-19,,1.4390106801573919,1334250,2.385337524048471,130.1889007045986,True,ref,,,117.2,
otb_hdsemg_vl,True,gzip-9,,1.3274308750742358,1446403,23.25740191345591,141.63047958692323,True,ref,,,108.1,
otb_hdsemg_vl,True,flac,,1.227415867674341,1564262,3.514018940635659,14.608762725345809,True,ref,,,100.0,
hyser_1dof_f1_s1,True,lzma,,1.6674366981974313,2302936,2.8821914382327414,28.453566447082107,True,ref,,,170.6,
hyser_1dof_f1_s1,True,LMS4+Rice+xchan_jointbp2,cross-channel,1.496924288376227,2565260,0.5694504120450202,0.4705326542009763,True,OK,OK,0.0468,153.2,
hyser_1dof_f1_s1,True,LMS4+Rice+xchan_bprank,cross-channel,1.4952345240306384,2568159,0.5755042475484399,0.4784297718994802,True,OK,OK,0.0554,153.0,
hyser_1dof_f1_s1,True,LMS+Rice+xchan_joint2,cross-channel,1.4930027161762955,2571998,2.1615203610050613,1.1871366091369135,True,OK,OK,0.0366,152.7,
hyser_1dof_f1_s1,True,LMS4bc+Rice+xchan_bestpartner,temporal,1.4850847600524575,2585711,2.2775704948415147,1.19116846630293,True,OK,OK,0.1202,151.9,
hyser_1dof_f1_s1,True,LMS4bc_lite+Rice+xchan_bestpartner,temporal,1.4835327860745722,2588416,1.8101380600311698,1.1250264885509313,True,OK,OK,0.0983,151.8,
hyser_1dof_f1_s1,True,LMS4+Rice+xchan_mst,cross-channel,1.4823244391293506,2590526,0.7657029899589499,0.5978894810539774,True,OK,OK,0.0464,151.7,
hyser_1dof_f1_s1,True,LMS4+Rice+xchan_bestpartner,cross-channel,1.4803843293608403,2593921,2.8915042196504155,1.5271386302708283,True,OK,OK,0.0394,151.5,
hyser_1dof_f1_s1,True,LMS4+Rice+acar_sel+bestpartner,cross-channel,1.4803843293608403,2593921,3.1808217178768556,1.5179259212637068,True,OK,OK,0.043,151.5,
hyser_1dof_f1_s1,True,LMS4+Rice+xchan_bestpartner_adaptive,cross-channel,1.4770202194067379,2599829,1.2057843229897303,0.8238717201660508,True,OK,OK,0.0387,151.1,
hyser_1dof_f1_s1,True,LMS+Rice+xchan,cross-channel,1.473818987394242,2605476,3.0152795024995025,1.445013496362089,True,OK,OK,0.0572,150.8,10.8
hyser_1dof_f1_s1,True,LMS4+Rice+xchan_xlag,cross-channel,1.4684456273589777,2615010,0.5004375506653392,0.4241978414509901,True,OK,-,0.1063,150.2,
hyser_1dof_f1_s1,True,delta+Rice+xchan,cross-channel,1.451551080611738,2645446,4.0733596976165325,1.5780368891519878,True,OK,OK,0.0127,148.5,10.9
hyser_1dof_f1_s1,True,zstd-19,,1.4398826495640604,2666884,3.6081350602905484,142.69068101279206,True,ref,,,147.3,
