config,mean_ratio,cost,embedded_ok,neural_ok,on_pareto
lms4s7+x6/b512,1.8204,0.0271,True,True,True
lms4s7+x7/b512,1.8203,0.0271,True,True,False
lms4s7+x8/b512,1.8202,0.0271,True,True,False
lms4s7+x9/b512,1.8202,0.0271,True,True,False
lms4s7+x10/b512,1.8202,0.0271,True,True,False
lms4s7+x6/b256,1.8177,0.0271,True,True,False
lms4s7+x7/b256,1.8175,0.0271,True,True,False
lms4s8+x6/b512,1.8175,0.0271,True,True,False
lms4s7+x8/b256,1.8175,0.0271,True,True,False
lms4s7+x9/b256,1.8175,0.0271,True,True,False
lms4s7+x10/b256,1.8174,0.0271,True,True,False
lms4s8+x8/b512,1.8173,0.0271,True,True,False
lms4s8+x6/b256,1.8148,0.0271,True,True,False
lms4s8+x10/b256,1.8146,0.0271,True,True,False
lms4s8+x8/b256,1.8146,0.0271,True,True,False
lms4s8+x7/b256,1.8146,0.0271,True,True,False
lms4s8+x9/b256,1.8145,0.0271,True,True,False
lms4s7+x6/b128,1.8127,0.0271,True,True,False
lms4s7+x8/b128,1.8125,0.0271,True,True,False
lms4s6+x6/b512,1.8121,0.0271,True,True,False
lms4s6+x8/b512,1.8118,0.0271,True,True,False
lms8s8+x8/b512,1.8108,0.0402,True,True,False
lms4s8+x8/b128,1.8098,0.0271,True,True,False
lms4s6+x8/b256,1.8091,0.0271,True,True,False
lms8s8+x6/b256,1.8085,0.0402,True,True,False
lms8s8+x8/b256,1.8082,0.0402,True,True,False
lms8s8+x7/b256,1.8082,0.0402,True,True,False
lms8s8+x10/b256,1.8082,0.0402,True,True,False
lms8s8+x9/b256,1.8082,0.0402,True,True,False
lms8s7+x6/b512,1.8062,0.0402,True,True,False
lms8s7+x8/b512,1.806,0.0402,True,True,False
lms8s8+x8/b128,1.8036,0.0402,True,True,False
lms8s7+x8/b256,1.8034,0.0402,True,True,False
lms4s9+x6/b512,1.803,0.0271,True,True,False
lms4s9+x8/b512,1.8029,0.0271,True,True,False
lms12s8+x8/b256,1.801,0.0532,True,True,False
lms4s9+x8/b256,1.8004,0.0271,True,True,False
lms8s9+x8/b256,1.7987,0.0402,True,True,False
lms16s8+x8/b256,1.7931,0.0663,True,True,False
fixed+x6/b512,1.7918,0.0252,True,True,True
lms12s7+x6/b512,1.7917,0.0532,True,True,False
fixed+x8/b512,1.7917,0.0252,True,True,False
lms12s7+x8/b512,1.7914,0.0532,True,True,False
fixed+x8/b256,1.789,0.0252,True,True,False
lms12s7+x8/b256,1.7889,0.0532,True,True,False
lms8s6+x8/b256,1.7825,0.0402,True,True,False
lms4s10+x6/b512,1.7786,0.0271,True,True,False
lms4s10+x8/b512,1.7785,0.0271,True,True,False
lms16s7+x6/b512,1.7769,0.0663,True,True,False
lms16s7+x8/b512,1.7764,0.0663,True,True,False
lms4s10+x8/b256,1.7763,0.0271,True,True,False
lms8s10+x8/b256,1.7751,0.0402,True,True,False
lms16s7+x8/b256,1.7739,0.0663,True,True,False
delta+x6/b512,1.7487,0.0163,True,True,True
delta+x8/b512,1.7487,0.0163,True,True,False
delta+x8/b256,1.7463,0.0163,True,True,False
lms4s7/b512,1.5854,0.0222,True,True,False
lms4s8/b256,1.5834,0.0222,True,True,False
lms4s7/b256,1.5831,0.0222,True,True,False
lms8s8/b256,1.5777,0.0353,True,True,False
