dataset,real,name,family,ratio,comp,enc,dec,ok,embedded,neural,cost,pct_of_flac,xchan_gain
synth_sc0.6,False,LMS4+Rice+xchan_jointbp2,cross-channel,2.637096392053824,1456147,0.6097818493603662,0.500084439452954,True,OK,OK,0.0468,184.9,
synth_sc0.6,False,LMS+Rice+xchan_joint2,cross-channel,2.6360174718533056,1456743,1.9303983581161637,1.0945403869157353,True,OK,OK,0.0366,184.9,
synth_sc0.6,False,LMS4+Rice+xchan_scalesel,cross-channel,2.6310560538270216,1459490,0.6393100058165745,0.49097521082667606,True,OK,OK,0.0494,184.5,
synth_sc0.6,False,LMS4+Rice+xchan_bestpartner,cross-channel,2.5959820417533965,1479209,3.529025368863764,1.5381539877761534,True,OK,OK,0.0394,182.0,
synth_sc0.6,False,LMS4+Rice+acar_sel+bestpartner,cross-channel,2.5959820417533965,1479209,3.624546930335347,1.555352021452002,True,OK,OK,0.043,182.0,
synth_sc0.6,False,LMS4v2+Rice+xchan_bestpartner,temporal,2.5929984988969625,1480911,2.530678846296733,1.3117283355196208,True,OK,OK,0.0592,181.8,
synth_sc0.6,False,LMS4+Rice+xchan_bestpartner_adaptive,cross-channel,2.5847046066301713,1485663,1.3751162678709663,0.9082852654361953,True,OK,OK,0.0387,181.3,
synth_sc0.6,False,LMS4+Rice+xchan_lagbp,cross-channel,2.584654154427701,1485692,0.2657418012313569,0.23436249389149794,True,OK,OK,0.0706,181.3,
synth_sc0.6,False,LMS+Rice+xchan,cross-channel,2.571740854246587,1493152,4.22377810001631,1.5642596393344417,True,OK,OK,0.0572,180.3,9.4
synth_sc0.6,False,LMS+Rice+acar,cross-channel,2.5093643727765333,1530268,4.026358991129725,1.5543539047907717,True,OK,OK,0.0559,176.0,
synth_sc0.6,False,delta+Rice+xchan,cross-channel,2.383106752011677,1611342,4.44744980350222,1.6605415925162197,True,OK,OK,0.0127,167.1,8.3
synth_sc0.6,False,LMS+Rice,temporal,2.350446707293485,1633732,3.843620048200251,1.490279656760132,True,OK,OK,0.0523,164.8,
synth_sc0.6,False,wavpack,,2.3466087836500034,1636404,8.019310198230786,inf,True,ref,,,164.6,
