dataset,real,name,family,ratio,comp,enc,dec,ok,embedded,neural,cost,pct_of_flac,xchan_gain
otb_hdsemg_vl,True,LMS4bcpool+Rice+xchan_bestpartner,temporal,2.194779853292684,874803,2.145563541281369,1.4463798459987447,True,OK,OK,0.1282,178.8,
otb_hdsemg_vl,True,LMS4bc+Rice+xchan_bestpartner,temporal,2.1934384203587642,875338,2.7075904525704133,1.6028100371354665,True,OK,OK,0.1202,178.7,
otb_hdsemg_vl,True,LMS4bcxm+Rice+xchan_bestpartner,temporal,2.1915931855149386,876075,2.651829009654866,1.58713653342869,True,OK,OK,0.1189,178.6,
otb_hdsemg_vl,True,LMS4bcxs+Rice+xchan_bestpartner,temporal,2.1818628108302214,879982,1.9029399849978423,1.4371114957813755,True,OK,OK,0.1013,177.8,
otb_hdsemg_vl,True,LMS4bc_lite+Rice+xchan_bestpartner,temporal,2.1804009212193893,880572,2.5890914633791775,1.4864677249985687,True,OK,OK,0.0983,177.6,
otb_hdsemg_vl,True,LMS4+Rice+acar_sel+bestpartner,cross-channel,2.1795395722653588,880920,4.781195963847994,2.112066970908042,True,OK,OK,0.043,177.6,
otb_hdsemg_vl,True,LMS4+Rice+xchan_mst,cross-channel,2.1701683236806053,884724,1.1725653005728258,0.8544612697023973,True,OK,OK,0.0464,176.8,
otb_hdsemg_vl,True,LMS4+Rice+xchan_bestpartner,cross-channel,2.161938177576197,888092,4.74253871331296,2.1054129261386207,True,OK,OK,0.0394,176.1,
otb_hdsemg_vl,True,LMS4+Rice+xchan_bestpartner_adaptive,cross-channel,2.153106023650524,891735,1.7983347133728464,1.173053853188307,True,OK,OK,0.0387,175.4,
otb_hdsemg_vl,True,LMS4+Rice+xchan_jointbp2,cross-channel,2.1522443873501835,892092,0.8543391913104963,0.6834757603108931,True,OK,OK,0.0468,175.3,
otb_hdsemg_vl,True,LMS+Rice+xchan_joint2,cross-channel,2.1496756452945616,893158,2.760313495291856,1.5306020258222766,True,OK,OK,0.0366,175.1,
otb_hdsemg_vl,True,LMS4+Rice+xchan_bprank,cross-channel,2.1495865964319103,893195,0.8707829856893329,0.6811930089531868,True,OK,OK,0.0554,175.1,
otb_hdsemg_vl,True,LMS+Rice+xchan,cross-channel,2.142618011382658,896100,5.4215419403189165,2.1029683191132973,True,OK,OK,0.0572,174.6,17.4
otb_hdsemg_vl,True,LMS+Rice+acar,cross-channel,2.0889341974847926,919129,5.268654496672979,2.0670874858388144,True,OK,OK,0.0559,170.2,
